"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","56","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivity","Тест получения общего времени активности",""
"passed","Tue Mar 25 10:58:33 GMT 2025","Tue Mar 25 10:58:33 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Inactive","testGetUserStatus_Inactive()",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","21","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersWrongDaysFormat","testInactiveUsersWrongDaysFormat()",""
"passed","Tue Mar 25 10:58:33 GMT 2025","Tue Mar 25 10:58:33 GMT 2025","3","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_HighlyActive","testGetUserStatus_HighlyActive()",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","39","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionMissingParameters","testRecordSessionMissingParameters()",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","13","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testInactiveUsersMissingDays","testInactiveUsersMissingDays()",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","23","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityMissingParameters","testMonthlyActivityMissingParameters()",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:33 GMT 2025","1935","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_Active","testGetUserStatus_Active()",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","22","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSessionInvalidUserId","testRecordSessionInvalidUserId()",""
"passed","Tue Mar 25 10:58:29 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","1809","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testUserRegistration","Тест регистрации пользователя",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","15","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterMissingUserName","testRegisterMissingUserName()",""
"passed","Tue Mar 25 10:58:33 GMT 2025","Tue Mar 25 10:58:33 GMT 2025","12","","org.itmo.testing.lab2.service.UserStatusServiceTest","","org.itmo.testing.lab2.service.UserStatusServiceTest","testGetUserStatus_NoSessions","testGetUserStatus_NoSessions()",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","14","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRegisterMissingUserId","testRegisterMissingUserId()",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","22","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testRecordSession","Тест записи сессии",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","16","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testGetTotalActivityMissingUserId","testGetTotalActivityMissingUserId()",""
"passed","Tue Mar 25 10:58:31 GMT 2025","Tue Mar 25 10:58:31 GMT 2025","40","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","","org.itmo.testing.lab2.integration.UserAnalyticsIntegrationTest","testMonthlyActivityInvalidUserId","testMonthlyActivityInvalidUserId()",""
